Panel,UniprotID
IMMUNE RESPONSE,O00273
IMMUNE RESPONSE,Q96PD2
IMMUNE RESPONSE,Q6DN72
IMMUNE RESPONSE,O76036
IMMUNE RESPONSE,P48061
IMMUNE RESPONSE,P15514
IMMUNE RESPONSE,Q8IU57
IMMUNE RESPONSE,Q9UN19
IMMUNE RESPONSE,Q9Y2J8
IMMUNE RESPONSE,Q9Y3P8
IMMUNE RESPONSE,P48740
IMMUNE RESPONSE,Q9UQV4
IMMUNE RESPONSE,Q9BXN2
IMMUNE RESPONSE,Q6EIG7
IMMUNE RESPONSE,O95786
IMMUNE RESPONSE,P42701
IMMUNE RESPONSE,Q92844
IMMUNE RESPONSE,Q9UKX5
IMMUNE RESPONSE,P52294
IMMUNE RESPONSE,P18627
IMMUNE RESPONSE,P05113
IMMUNE RESPONSE,Q01151
IMMUNE RESPONSE,P18564
IMMUNE RESPONSE,P78410
INFLAMMATION,P10145
INFLAMMATION,P15692
INFLAMMATION,P80098
INFLAMMATION,P39905
INFLAMMATION,Q9H5V8
INFLAMMATION,Q9BZW8
INFLAMMATION,P13232
INFLAMMATION,O00300
INFLAMMATION,P01137
INFLAMMATION,P00749
INFLAMMATION,P05231
INFLAMMATION,Q9P0M4
INFLAMMATION,P13500
INFLAMMATION,Q16552
INFLAMMATION,O14625
INFLAMMATION,O15169
INFLAMMATION,P50591
INFLAMMATION,Q9UHF4
INFLAMMATION,Q07325
INFLAMMATION,P28325
INFLAMMATION,P14784
INFLAMMATION,P01583
INFLAMMATION,P13725
INFLAMMATION,P60568
INFLAMMATION,P09341
INFLAMMATION,Q969D9
INFLAMMATION,P13236
INFLAMMATION,Q8WWJ7
INFLAMMATION,P21583
INFLAMMATION,Q14116
INFLAMMATION,Q13291
INFLAMMATION,P01135
INFLAMMATION,Q99616
INFLAMMATION,P51671
INFLAMMATION,O43557
INFLAMMATION,Q9GZV9
INFLAMMATION,Q13651
INFLAMMATION,Q8NF90
INFLAMMATION,P03956
INFLAMMATION,P42702
INFLAMMATION,Q9NSA1
INFLAMMATION,Q99731
INFLAMMATION,Q13261
INFLAMMATION,Q08334
INFLAMMATION,Q8N6P7
INFLAMMATION,Q13478
INFLAMMATION,Q9NZQ7
INFLAMMATION,P01138
INFLAMMATION,P42830
INFLAMMATION,O14788
INFLAMMATION,P14210
INFLAMMATION,P29460
INFLAMMATION,Q13007
INFLAMMATION,P35225
INFLAMMATION,Q5T4W7
INFLAMMATION,P09238
INFLAMMATION,P22301
INFLAMMATION,P01375
INFLAMMATION,P55773
INFLAMMATION,P06127
INFLAMMATION,P10147
INFLAMMATION,P49771
INFLAMMATION,P80162
INFLAMMATION,P02778
INFLAMMATION,Q13541
INFLAMMATION,Q9NYY1
INFLAMMATION,Q8IXJ6
INFLAMMATION,Q9NRJ3
INFLAMMATION,P80511
INFLAMMATION,P25942
INFLAMMATION,O95760
INFLAMMATION,P01579
INFLAMMATION,O95750
INFLAMMATION,P05112
INFLAMMATION,P15018
INFLAMMATION,Q99748
INFLAMMATION,P80075
INFLAMMATION,Q14790
INFLAMMATION,O15444
INFLAMMATION,P78423
INFLAMMATION,Q07011
INFLAMMATION,P20783
INFLAMMATION,O43508
INFLAMMATION,P78556
INFLAMMATION,P50225
INFLAMMATION,O95630
INFLAMMATION,P05113
INFLAMMATION,P00813
INFLAMMATION,P01374
INFLAMMATION,P09603
INFLAMMATION,Q8NFT8
INFLAMMATION,P01732
METABOLISM,Q9H6B4
METABOLISM,Q96JA1
METABOLISM,O95502
METABOLISM,P23526
METABOLISM,P52888
