Protein,C(Time): sum_sq,Residual: sum_sq,C(Time): df,Residual: df,C(Time): F,Residual: F,C(Time): PR(>F),Residual: PR(>F)
CLSTN1_OID05158,2.475739371845109,330.6413834238656,2.0,84.0,0.31448287731180974,,0.7310222755781804,
HSP90B1_OID05159,15.476889375992945,972.3365645525053,2.0,84.0,0.6685229965519853,,0.5151700299100477,
LEPR_OID05160,5.744241465977581,511.82539222902835,2.0,84.0,0.4713680587834176,,0.625788646091773,
CD33_OID05161,46.69795342755727,901.9372691679114,2.0,84.0,2.174557046264237,,0.12001558733703598,
ADAM15_OID05162,3.123415594185745,1739.431287162672,2.0,84.0,0.07541744012767834,,0.927419009796272,
NDRG1_OID05163,3.263275979610144,408.92127100124566,2.0,84.0,0.3351686519217743,,0.7161695294378094,
CEACAM3_OID05164,6.26946322616694,398.339616477761,2.0,84.0,0.6610375785048542,,0.518980227707492,
GBP2_OID05165,7.590809344229994,2716.024469510203,2.0,84.0,0.11738259210718871,,0.8893905151612045,
FGFR2_OID05166,10.659866662360567,922.1551599138037,2.0,84.0,0.4855087508928464,,0.6171001100530928,
NXPH1_OID05167,10.843297493871379,1156.6969371172163,2.0,84.0,0.39372326503917005,,0.675778941957887,
NAA10_OID05168,1.98890052908978,1574.2846271371518,2.0,84.0,0.05306144821707218,,0.9483534977051977,
IL15_OID05169,9.4157516786102,405.10863598923356,2.0,84.0,0.9761864728851113,,0.38097759016932153,
DSG3_OID05170,5.654657386327183,1187.6217622013803,2.0,84.0,0.19997579851140393,,0.8191392140372916,
SFRP1_OID05171,29.901161757747797,879.457812102826,2.0,84.0,1.4279807132790288,,0.24555312916520877,
IFI30_OID05174,8.377350173735204,1480.0329212136717,2.0,84.0,0.23773032495003693,,0.7889439128706214,
FCAR_OID05175,15.290728869370573,1866.2852232080859,2.0,84.0,0.3441117169698339,,0.7098442546344867,
PRTFDC1_OID05176,7.055712383275232,458.5418332799839,2.0,84.0,0.6462658335398064,,0.5265841558787285,
PLA2G10_OID05177,2.1384299465210113,458.5733047800685,2.0,84.0,0.1958553993825638,,0.8225054622555106,
IKZF2_OID05178,31.750975516822276,535.861045131659,2.0,84.0,2.488594727722538,,0.08913028787727588,
UBE2F_OID05179,0.6486858431921944,186.06061664569813,2.0,84.0,0.14642972760835513,,0.8640064357385355,
DPEP2_OID05180,0.26626703106722055,1098.3949600766487,2.0,84.0,0.010181415348121108,,0.9898714611697065,
TBCB_OID05181,6.853581344854237,1657.2060171745322,2.0,84.0,0.1736962173083652,,0.8408533303137431,
NPM1_OID05182,1.0421325659773448,932.5707758914202,2.0,84.0,0.04693431201423859,,0.9541750752169246,
ASGR1_OID05183,1.7958549419155498,212.31815173471796,2.0,84.0,0.3552494543881222,,0.7020466205969852,
EPHA10_OID05184,1.1113305108833496,158.55184263225306,2.0,84.0,0.29438876699377914,,0.7457522491031945,
COL4A3BP_OID05185,29.117102503382494,742.6000622823661,2.0,84.0,1.6468060901899877,,0.19882294024488353,
PSG1_OID05186,3.658176243936251,177.1222106622367,2.0,84.0,0.8674428896910783,,0.4237521585159997,
PSME1_OID05187,12.271353444575471,911.982789767917,2.0,84.0,0.5651387838177614,,0.5704268232726135,
KIRREL2_OID05188,3.990454396793478,720.8152312965339,2.0,84.0,0.23251323971590443,,0.7930476228271877,
PAEP_OID05189,4.414790979805436,1247.2168386120736,2.0,84.0,0.14866799053015395,,0.8620814797498354,
CCL27_OID05190,32.128152687309935,1342.2688551325493,2.0,84.0,1.0052996519343105,,0.3702943768828962,
MAD1L1_OID05191,8.609959316884154,259.83201413608276,2.0,84.0,1.3917387836579016,,0.25431615733097285,
AKT1S1_OID05192,2.054153129435105,132.03903545286812,2.0,84.0,0.6534009517743746,,0.5228971312098787,
PTS_OID05193,5.035914142241528,898.9689319154083,2.0,84.0,0.23527886945268403,,0.7908694899939933,
IL32_OID05194,0.5560097727834323,268.1787989399154,2.0,84.0,0.08707776509259477,,0.9166884429128509,
FUT8_OID05195,2.249670221361836,217.9989704086092,2.0,84.0,0.43342475021829585,,0.6497265967722192,
TPPP3_OID05196,8.30441878171601,713.4249496482391,2.0,84.0,0.4888889700367844,,0.615041536989599,
PFDN2_OID05197,2.250686072929434,1989.5499057856791,2.0,84.0,0.0475126634361587,,0.9536240056820379,
CARHSP1_OID05198,29.740697906008904,880.1334565692918,2.0,84.0,1.4192271668904943,,0.2476409475941986,
VSTM1_OID05199,0.8471298020372999,426.84080309180536,2.0,84.0,0.08335531989408737,,0.9201001891807798,
DEFB4A_OID05200,10.576043956479737,585.7706287221445,2.0,84.0,0.7583067917576466,,0.4716384871315731,
ABHD14B_OID05201,8.040684676795953,526.172826065096,2.0,84.0,0.6418209753455607,,0.5288944515815854,
AARSD1_OID05202,0.3567382250321316,66.97814253360224,2.0,84.0,0.22369992484985246,,0.800029803399277,
PHOSPHO1_OID05203,1.1505539190251648,140.02859366871087,2.0,84.0,0.34509569319380135,,0.7091518069262941,
DUSP3_OID05204,2.5194876016524583,137.86504211168307,2.0,84.0,0.7675512055019776,,0.4673756340323455,
TNFRSF13C_OID05205,0.20943405997700748,38.99348348267259,2.0,84.0,0.22558206483252688,,0.7985334473366127,
NEFL_OID05206,3.374554115166261,108.93238163046448,2.0,84.0,1.301094043071448,,0.27766279044586306,
HMOX2_OID05207,13.590025606314436,1903.634009463024,2.0,84.0,0.29983761197154274,,0.7417282004129965,
RNF31_OID05208,5.801536034207779,184.12791653756716,2.0,84.0,1.3233436733479385,,0.27173623019038645,
DPEP1_OID05209,19.00311042996196,1124.8329265491616,2.0,84.0,0.7095548318513056,,0.4947870426408899,
SNCG_OID05210,0.023740689572713566,48.92945038558354,2.0,84.0,0.020378503216291095,,0.9798325777282579,
IL3RA_OID05211,2.9851754169539304,148.1566736111027,2.0,84.0,0.846248531748012,,0.43264579496133426,
AOC1_OID05212,108.04240812640847,1580.2687304466363,2.0,84.0,2.871524984251652,,0.062186391478675364,
KIF1BP_OID05213,18.16434995878757,2100.91342470234,2.0,84.0,0.36312905105890647,,0.6965830548404028,
PPP3R1_OID05214,0.22283299658653344,58.51915217035766,2.0,84.0,0.15993030502884,,0.8524620564675083,
ILKAP_OID05215,1.6848471529184352,373.8703471071139,2.0,84.0,0.18927304871894668,,0.8279124672355129,
ISLR2_OID05216,5.9959505628171055,143.71163276776613,2.0,84.0,1.7523280390618645,,0.17964750962505974,
ING1_OID05217,11.322410959695807,1068.4781602756748,2.0,84.0,0.44506409020520454,,0.6422854176542594,
PMVK_OID05218,3.6972256603972946,280.59908503823357,2.0,84.0,0.5533998006997347,,0.5770734848460735,
