Protein,C(Site): sum_sq,Residual: sum_sq,C(Site): df,Residual: df,C(Site): F,Residual: F,C(Site): PR(>F),Residual: PR(>F)
CR2_OID01258,2.9912143461040164,40.85511927898429,4.0,47.0,0.8602782022668466,,0.4947254615135199,
TCN2_OID01259,132.0796734096242,1788.549861524822,4.0,47.0,0.8677064005584874,,0.49034241155926594,
TNXB_OID01260,22.405356135239447,739.4242281906386,4.0,47.0,0.3560377447101841,,0.8385330337010756,
CA4_OID01261,18.178629297811828,251.96575863494863,4.0,47.0,0.8477298479225264,,0.5021934136670572,
GNLY_OID01262,21.611286651994188,371.0578063422139,4.0,47.0,0.6843478666144497,,0.606348922927993,
CES1_OID01263,5.26524507917431,624.3382418885321,4.0,47.0,0.09909152688318532,,0.9822298319739305,
IGFBP6_OID01264,16.430951785378863,537.6631337881329,4.0,47.0,0.35907926607867213,,0.8364214033226842,
TNC_OID01265,0.5426353767495385,86.44141331833256,4.0,47.0,0.07376054407309023,,0.9897941922755558,
DPP4_OID01266,83.78019498025593,555.4661225091729,4.0,47.0,1.7722364175355276,,0.15028040557651712,
ICAM3_OID01267,76.37172620095463,915.4140834306024,4.0,47.0,0.9802861886265117,,0.4274028630075978,
THBS4_OID01268,8.176485494033592,102.75126123676404,4.0,47.0,0.9350124115120826,,0.45192247861553914,
SAA4_OID01269,61.087131609790724,813.5002300742035,4.0,47.0,0.882327711633922,,0.4817974549027326,
TIE1_OID01270,54.32938703701491,531.7269373247153,4.0,47.0,1.2005603870602568,,0.32309841614189266,
COL18A1_OID01271,70.77775554342892,946.1071208325891,4.0,47.0,0.8790110647338061,,0.48372614970372174,
PRCP_OID01272,127.51035369520662,653.3728933177845,4.0,47.0,2.293095828188831,,0.0733021721326741,
NOTCH1_OID01273,119.33445034973579,524.676964788002,4.0,47.0,2.672463030992703,,0.043369416119571166,
COMP_OID01274,14.71876850995772,389.6213996142297,4.0,47.0,0.4438809833423916,,0.7762511334694213,
PLTP_OID01275,62.93767327693631,755.3370099342911,4.0,47.0,0.9790565684956102,,0.42805469668511,
CCL18_OID01276,263.3155982341836,695.6264678148682,4.0,47.0,4.447729381215945,,0.003944940191606154,
DEFA1_OID01277,6.420778948676031,107.86549351068388,4.0,47.0,0.6994280579587833,,0.5962340665032133,
LCN2_OID01278,38.272128172080464,394.55030487638066,4.0,47.0,1.1397722938342256,,0.34945555975857057,
TGFBR3_OID01279,58.918642522462164,562.7503269350991,4.0,47.0,1.2301975076751424,,0.31088995277416015,
REG3A_OID01280,233.45239282985096,706.903080964012,4.0,47.0,3.880398444451534,,0.008361328174091517,
EFEMP1_OID01281,7.975645026864323,106.97305479804626,4.0,47.0,0.8760507890755997,,0.48545237746992975,
FAP_OID01282,18.751333097432433,743.5005673068696,4.0,47.0,0.29633893178173415,,0.878879850969021,
PLA2G7_OID01283,66.01845869614817,403.87440393150655,4.0,47.0,1.9206884173112777,,0.12258955553332289,
PTPRS_OID01284,17.85007644146994,589.854249816265,4.0,47.0,0.3555766500836498,,0.8388527670055623,
MFAP5_OID01285,133.1492396820531,697.6636912682209,4.0,47.0,2.242489591826331,,0.07861940363381995,
GAS6_OID01286,17.395304974438368,625.6346757081155,4.0,47.0,0.3266999758578111,,0.8586484870914337,
SPARCL1_OID01287,18.088688631986766,593.6177898199636,4.0,47.0,0.35804535354357503,,0.8371397123043447,
LTBP2_OID01288,8.61853533743395,89.59450371225726,4.0,47.0,1.1302902077574057,,0.3537297793408939,
PCOLCE_OID01289,59.6103835702918,673.8989747141125,4.0,47.0,1.039357579150596,,0.3970135918590996,
FCN2_OID01290,14.430574494381524,788.006514884623,4.0,47.0,0.21517493460546977,,0.9287058949011503,
TGFBI_OID01291,14.024508490449012,193.8362627187108,4.0,47.0,0.8501400741610001,,0.5007528142974926,
